MMD,L2_loss,L2_loss_norm,L2s_loss,L2s_loss_norm,Dot_loss,Dot_loss_norm
0.00024447624582535354,55.10059356689453,0.667418897151947,3100.525634765625,0.45561474561691284,-5197.35986328125,-0.772192656993866
0.0002440957432554569,55.20957946777344,0.667831301689148,3113.581298828125,0.45639052987098694,-5209.896484375,-0.7718047499656677
0.00024406207103311317,55.17213821411133,0.6679621934890747,3108.772216796875,0.4563673138618469,-5198.8564453125,-0.7718163728713989
0.00024389976442762418,55.15018081665039,0.6673434972763062,3107.172119140625,0.45570459961891174,-5206.49609375,-0.7721477150917053
0.00024442078301945003,55.084346771240234,0.6662737727165222,3099.12939453125,0.4540694057941437,-5215.24365234375,-0.7729653120040894
0.00024468379706377164,55.209083557128906,0.6679494380950928,3114.3681640625,0.4566331207752228,-5205.76806640625,-0.7716834545135498
0.00024345329711650265,55.15309143066406,0.6670251488685608,3107.91455078125,0.4553193151950836,-5212.72265625,-0.7723402976989746
0.000244160789407033,55.07602310180664,0.6663724780082703,3098.04638671875,0.4542568325996399,-5212.9267578125,-0.7728715538978577
0.00024418729117314797,55.15465545654297,0.6671813130378723,3107.2666015625,0.4554375112056732,-5210.82958984375,-0.7722812294960022
0.00024473964776916546,55.17931365966797,0.6679248809814453,3110.4462890625,0.45647308230400085,-5200.2216796875,-0.7717635035514832
0.00024375440989388153,55.10836410522461,0.6665554046630859,3100.8017578125,0.4543531835079193,-5215.35009765625,-0.7728232741355896
0.00024412978291366016,55.12734603881836,0.6672149300575256,3104.114990234375,0.45551156997680664,-5206.33349609375,-0.7722441554069519
0.00024364069668081356,55.1494255065918,0.6674736142158508,3107.318603515625,0.4559328854084015,-5203.640625,-0.7720336318016052
0.00024319265867234208,55.202674865722656,0.6680338382720947,3111.964599609375,0.4564337134361267,-5202.5205078125,-0.7717831134796143
0.00024356408994208323,55.16688537597656,0.6675636768341064,3108.327392578125,0.45584583282470703,-5205.3515625,-0.7720770239830017
0.00024362731437577168,55.13908767700195,0.6675192713737488,3105.073974609375,0.45579782128334045,-5201.73828125,-0.7721009850502014
0.0002439141926515731,55.117347717285156,0.6665847897529602,3103.84033203125,0.45470130443573,-5215.00537109375,-0.772649347782135
0.00024344722351088421,55.119468688964844,0.6670690774917603,3104.124267578125,0.4553569257259369,-5206.75634765625,-0.7723216414451599
0.00024325390677404357,55.174522399902344,0.6680361032485962,3109.56591796875,0.456583708524704,-5197.9384765625,-0.7717081904411316
0.00024445977487630444,55.16661071777344,0.6677564978599548,3107.992919921875,0.4561033844947815,-5202.73046875,-0.7719483375549316
0.00024400585243711248,55.12575149536133,0.6666637659072876,3104.191650390625,0.4547441601753235,-5216.4521484375,-0.7726278305053711
0.0002431827206237358,55.12038040161133,0.666983962059021,3103.1572265625,0.4550422728061676,-5208.314453125,-0.7724788188934326
0.00024474874135194113,55.122314453125,0.6672815680503845,3103.863037109375,0.45558688044548035,-5203.525390625,-0.7722066640853882
0.00024411270987911848,55.05335998535156,0.6660792231559753,3095.156005859375,0.4538365304470062,-5214.56005859375,-0.7730817198753357
0.00024348083661607234,55.10713577270508,0.6667782664299011,3102.30859375,0.4548795819282532,-5209.64990234375,-0.7725602388381958
0.000242881177655363,55.163780212402344,0.6678248047828674,3108.387939453125,0.45631143450737,-5200.16748046875,-0.7718442678451538
0.0002444960377943062,55.11747360229492,0.6669350862503052,3103.41845703125,0.4550793766975403,-5208.68603515625,-0.7724603414535522
0.0002436030063108774,55.16124725341797,0.6678597927093506,3107.864013671875,0.4563240706920624,-5199.93994140625,-0.7718378901481628
0.0002446053995299735,55.12690353393555,0.6670262217521667,3104.343017578125,0.45515477657318115,-5208.2744140625,-0.7724225521087646
0.0002452468261253671,55.15342712402344,0.6676952242851257,3106.99169921875,0.45613014698028564,-5201.7373046875,-0.7719349265098572
0.00024394642150582513,55.11988067626953,0.6671226620674133,3103.16015625,0.45528444647789,-5206.451171875,-0.772357702255249
0.00024501203961335705,55.0174446105957,0.665409505367279,3091.5703125,0.45292928814888,-5220.51123046875,-0.7735352516174316
0.00024385531924053794,55.11940002441406,0.6675652265548706,3103.53515625,0.45595550537109375,-5197.4658203125,-0.7720221877098083
0.0002435122660244815,55.16872787475586,0.6678966283798218,3108.489501953125,0.4563150107860565,-5200.03369140625,-0.7718424797058105
0.0002435634605717496,55.06247329711914,0.6663998961448669,3095.787109375,0.4542250335216522,-5210.52880859375,-0.7728874683380127
0.0002439451718601049,55.23893356323242,0.6683344841003418,3117.422119140625,0.4570091962814331,-5201.8955078125,-0.7714954018592834
0.00024317952829733258,55.093841552734375,0.6670579314231873,3100.25048828125,0.4552503526210785,-5202.8525390625,-0.7723748683929443
0.00024385792403336382,55.09944152832031,0.6669865846633911,3100.712890625,0.45510804653167725,-5205.52197265625,-0.7724459767341614
0.000244540592575504,55.17731475830078,0.6678987145423889,3109.71142578125,0.45642516016960144,-5202.3642578125,-0.7717874050140381
0.00024331550048373174,55.119140625,0.6672133803367615,3103.006103515625,0.45539185404777527,-5204.13720703125,-0.7723039984703064
0.00024403775660175597,55.07450866699219,0.6664141416549683,3097.725830078125,0.4543137848377228,-5212.9091796875,-0.7728431224822998
0.0002429411488265032,55.02896499633789,0.6664296984672546,3092.357177734375,0.4542882740497589,-5203.94580078125,-0.772855818271637
0.0002448426612318144,55.09951400756836,0.6671515703201294,3100.712158203125,0.45529669523239136,-5201.87451171875,-0.7723516225814819
0.00024375663451792207,55.112892150878906,0.6669743657112122,3102.541748046875,0.4551217257976532,-5207.96630859375,-0.772439181804657
